key=so,   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:23, MapReduceAssignment/test3:20
key=bring   value=MapReduceAssignment/test1:24, MapReduceAssignment/test2:11, MapReduceAssignment/test3:31
key=protection   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1, MapReduceAssignment/test3:3
key=else,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:18
key=prevent   value=MapReduceAssignment/test1:34, MapReduceAssignment/test2:2, MapReduceAssignment/test3:4
key=b,   value=MapReduceAssignment/test1:28, MapReduceAssignment/test3:1
key={13}   value=MapReduceAssignment/test1:1
key=one,   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:14, MapReduceAssignment/test3:62
key=shall   value=MapReduceAssignment/test1:23, MapReduceAssignment/test2:50, MapReduceAssignment/test3:143
key=fewer   value=MapReduceAssignment/test1:1
key=furthermore,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=book;   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=teacher,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:3
key=bitter   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:8
key={14}   value=MapReduceAssignment/test1:1
key=p,   value=MapReduceAssignment/test1:67
key=it.   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:44, MapReduceAssignment/test3:96
key=playing:   value=MapReduceAssignment/test1:3
key=above   value=MapReduceAssignment/test1:18, MapReduceAssignment/test2:33, MapReduceAssignment/test3:72
key=out.)   value=MapReduceAssignment/test1:2
key=governs   value=MapReduceAssignment/test1:2
key=1...p   value=MapReduceAssignment/test1:2
key=bishop's   value=MapReduceAssignment/test1:2
key=game.   value=MapReduceAssignment/test1:21, MapReduceAssignment/test2:4, MapReduceAssignment/test3:2
key=here,   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:24, MapReduceAssignment/test3:79
key=15   value=MapReduceAssignment/test1:11, MapReduceAssignment/test3:8
key=draws),   value=MapReduceAssignment/test1:1
key=apparently   value=MapReduceAssignment/test1:9, MapReduceAssignment/test2:3, MapReduceAssignment/test3:20
key=difficulties   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:1
key=left,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:2, MapReduceAssignment/test3:8
key=disposal,   value=MapReduceAssignment/test1:2
key=paying   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:4, MapReduceAssignment/test3:11
key=true   value=MapReduceAssignment/test1:9, MapReduceAssignment/test2:9, MapReduceAssignment/test3:74
key=convenient   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:5
key=_advancing   value=MapReduceAssignment/test1:1
key=above.   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:1
key=shown.   value=MapReduceAssignment/test1:2
key=having   value=MapReduceAssignment/test1:25, MapReduceAssignment/test2:48, MapReduceAssignment/test3:68
key=both   value=MapReduceAssignment/test1:22, MapReduceAssignment/test2:34, MapReduceAssignment/test3:110
key=_act   value=MapReduceAssignment/test1:1
key=have:   value=MapReduceAssignment/test1:1
key=free   value=MapReduceAssignment/test1:20, MapReduceAssignment/test2:8, MapReduceAssignment/test3:70
key=considers   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:1
key=counting   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:3, MapReduceAssignment/test3:2
key=themselves   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:21, MapReduceAssignment/test3:43
key=up.   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:7, MapReduceAssignment/test3:12
key=he,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:46, MapReduceAssignment/test3:15
key=openings,   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:2
key=arise   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:2, MapReduceAssignment/test3:8
key=acquainted   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1, MapReduceAssignment/test3:7
key=...   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:7, MapReduceAssignment/test3:1
key=most   value=MapReduceAssignment/test1:35, MapReduceAssignment/test2:25, MapReduceAssignment/test3:370
key=q;   value=MapReduceAssignment/test1:9
key=complicated   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:1, MapReduceAssignment/test3:2
key=lose;   value=MapReduceAssignment/test1:1
key=easily.   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=castled   value=MapReduceAssignment/test1:2
key=obtain   value=MapReduceAssignment/test1:25, MapReduceAssignment/test2:3, MapReduceAssignment/test3:3
key=otherwise   value=MapReduceAssignment/test1:12, MapReduceAssignment/test3:1
key=...b   value=MapReduceAssignment/test1:1
key=frequent   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1, MapReduceAssignment/test3:22
key=b.   value=MapReduceAssignment/test1:9, MapReduceAssignment/test2:1, MapReduceAssignment/test3:12
key=leave   value=MapReduceAssignment/test1:10, MapReduceAssignment/test2:20, MapReduceAssignment/test3:31
key=(this   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:2, MapReduceAssignment/test3:8
key=moving   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:4, MapReduceAssignment/test3:26
key=b;   value=MapReduceAssignment/test1:11
key=variations,   value=MapReduceAssignment/test1:2
key=knowing   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:8, MapReduceAssignment/test3:7
key=carry   value=MapReduceAssignment/test1:8, MapReduceAssignment/test2:4, MapReduceAssignment/test3:20
key=foundation   value=MapReduceAssignment/test1:19, MapReduceAssignment/test2:16, MapReduceAssignment/test3:32
key=weak   value=MapReduceAssignment/test1:21, MapReduceAssignment/test2:3, MapReduceAssignment/test3:18
key=accurate   value=MapReduceAssignment/test1:2
key=separately   value=MapReduceAssignment/test1:2
