key=while   value=MapReduceAssignment/test1:26, MapReduceAssignment/test2:89
key=worth   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:5
key=such   value=MapReduceAssignment/test1:69, MapReduceAssignment/test2:50
key=teach   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:5
key=proper   value=MapReduceAssignment/test1:29, MapReduceAssignment/test2:5
key=3.--now   value=MapReduceAssignment/test1:1
key=bishops   value=MapReduceAssignment/test1:16
key=2;   value=MapReduceAssignment/test1:60
key=squares.   value=MapReduceAssignment/test1:3
key=position,   value=MapReduceAssignment/test1:25, MapReduceAssignment/test2:1
key=advanced   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:2
key=bishops,   value=MapReduceAssignment/test1:4
key={7}   value=MapReduceAssignment/test1:1
key=movements   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=3...k   value=MapReduceAssignment/test1:6
key=driven   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:1
key=before   value=MapReduceAssignment/test1:35, MapReduceAssignment/test2:76
key=rank   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:2
key=files;   value=MapReduceAssignment/test1:1
key=8,   value=MapReduceAssignment/test1:5
key=squares,   value=MapReduceAssignment/test1:5
key=ought   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:14
key=mark   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:5
key=back;   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=check   value=MapReduceAssignment/test1:12, MapReduceAssignment/test2:3
key=diagonal,   value=MapReduceAssignment/test1:2
key=12   value=MapReduceAssignment/test1:5
key=fourteen   value=MapReduceAssignment/test1:1
key=all   value=MapReduceAssignment/test1:115, MapReduceAssignment/test2:247
key=care   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:9
key=stale   value=MapReduceAssignment/test1:2
key=remember   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:6
key=however,   value=MapReduceAssignment/test1:37, MapReduceAssignment/test2:5
