key=advantage   value=MapReduceAssignment/test1:55, MapReduceAssignment/test3:9, MapReduceAssignment/test2:1
key=sufficient   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:7, MapReduceAssignment/test2:2
key=remaining   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:12, MapReduceAssignment/test2:1
key=kings.   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:1
key=pawn,   value=MapReduceAssignment/test1:28
key=directly   value=MapReduceAssignment/test1:7, MapReduceAssignment/test3:17, MapReduceAssignment/test2:3
key=explained   value=MapReduceAssignment/test1:8, MapReduceAssignment/test2:2
key=drawn,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=instance   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:7
key=very   value=MapReduceAssignment/test1:100, MapReduceAssignment/test3:403, MapReduceAssignment/test2:78
key=lose,   value=MapReduceAssignment/test1:3
key=close   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:63, MapReduceAssignment/test2:21
key=case.   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:2, MapReduceAssignment/test2:1
key=advances   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:3
key=advancing   value=MapReduceAssignment/test1:8, MapReduceAssignment/test3:6, MapReduceAssignment/test2:1
key=back,   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:17, MapReduceAssignment/test2:15
key=ready   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:20, MapReduceAssignment/test2:14
key=whole   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:187, MapReduceAssignment/test2:39
key=become   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:48, MapReduceAssignment/test2:6
key={11}   value=MapReduceAssignment/test1:1
key=later   value=MapReduceAssignment/test1:16, MapReduceAssignment/test3:24, MapReduceAssignment/test2:14
key=lost   value=MapReduceAssignment/test1:16, MapReduceAssignment/test3:22, MapReduceAssignment/test2:10
key=knowledge.   value=MapReduceAssignment/test1:1
key=too   value=MapReduceAssignment/test1:11, MapReduceAssignment/test3:117, MapReduceAssignment/test2:42
key=6.--in   value=MapReduceAssignment/test1:1
key=_advance   value=MapReduceAssignment/test1:1
key=never   value=MapReduceAssignment/test1:9, MapReduceAssignment/test3:268, MapReduceAssignment/test2:75
key=safety_   value=MapReduceAssignment/test1:1
key=advance,   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:1
key=able   value=MapReduceAssignment/test1:36, MapReduceAssignment/test3:17, MapReduceAssignment/test2:4
key=leaving   value=MapReduceAssignment/test1:5, MapReduceAssignment/test3:32, MapReduceAssignment/test2:12
key=so,   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:20, MapReduceAssignment/test2:23
key=try   value=MapReduceAssignment/test1:8, MapReduceAssignment/test3:11, MapReduceAssignment/test2:9
key=forward.   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:3, MapReduceAssignment/test2:4
key=do   value=MapReduceAssignment/test1:45, MapReduceAssignment/test3:200, MapReduceAssignment/test2:81
key=else,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:18
key=tries   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:1
key=away,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:21, MapReduceAssignment/test2:8
key=similar   value=MapReduceAssignment/test1:21, MapReduceAssignment/test3:17, MapReduceAssignment/test2:1
key={13}   value=MapReduceAssignment/test1:1
key=previous   value=MapReduceAssignment/test1:16, MapReduceAssignment/test3:14, MapReduceAssignment/test2:1
key=understood   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:8, MapReduceAssignment/test2:8
key=couple   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:27, MapReduceAssignment/test2:14
key=fewer   value=MapReduceAssignment/test1:1
key=himself.   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:18, MapReduceAssignment/test2:3
key=learn   value=MapReduceAssignment/test1:5, MapReduceAssignment/test3:13, MapReduceAssignment/test2:7
key=serve   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:10, MapReduceAssignment/test2:1
key=teacher,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:3
key=realise   value=MapReduceAssignment/test1:5
key=practical   value=MapReduceAssignment/test1:7, MapReduceAssignment/test3:38, MapReduceAssignment/test2:2
key=playing   value=MapReduceAssignment/test1:39, MapReduceAssignment/test3:7, MapReduceAssignment/test2:11
key=p,   value=MapReduceAssignment/test1:67
key=losing   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:5, MapReduceAssignment/test2:2
key=given   value=MapReduceAssignment/test1:35, MapReduceAssignment/test3:30, MapReduceAssignment/test2:24
key=p.   value=MapReduceAssignment/test1:13, MapReduceAssignment/test3:14, MapReduceAssignment/test2:1
key=above   value=MapReduceAssignment/test1:18, MapReduceAssignment/test3:72, MapReduceAssignment/test2:33
key=answer   value=MapReduceAssignment/test1:7, MapReduceAssignment/test3:32, MapReduceAssignment/test2:24
key="_opposition_"   value=MapReduceAssignment/test1:1
key=pawn-endings   value=MapReduceAssignment/test1:1
key=1...p   value=MapReduceAssignment/test1:2
key=7.)   value=MapReduceAssignment/test1:1
key=why),   value=MapReduceAssignment/test1:2
key=,   value=MapReduceAssignment/test1:1
key=here,   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:79, MapReduceAssignment/test2:24
key=experiment   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:4
key=actual   value=MapReduceAssignment/test1:11, MapReduceAssignment/test3:28, MapReduceAssignment/test2:1
key=17   value=MapReduceAssignment/test1:8, MapReduceAssignment/test3:2
key=apparently   value=MapReduceAssignment/test1:9, MapReduceAssignment/test3:20, MapReduceAssignment/test2:3
key=enormous   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:2, MapReduceAssignment/test2:1
key={16}   value=MapReduceAssignment/test1:1
key=adversary   value=MapReduceAssignment/test1:3
key=disposal,   value=MapReduceAssignment/test1:2
key=necessity   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:7
key=attention   value=MapReduceAssignment/test1:9, MapReduceAssignment/test3:14, MapReduceAssignment/test2:2
